transaction_id,timestamp,item_id,quantity,unit_price
#ORD-1782548281844-204,2026-06-27 08:18:01,6a3f54268a1b673e19a1ddb2,2,5000
#ORD-1782548281844-204,2026-06-27 08:18:01,6a3f54268a1b673e19a1ddac,3,45000
#ORD-1782548281844-204,2026-06-27 08:18:01,6a3f54268a1b673e19a1ddaf,1,40000
#ORD-1782548282098-860,2026-06-27 08:18:02,6a3f54268a1b673e19a1ddac,1,45000
#ORD-1782548282098-860,2026-06-27 08:18:02,6a3f54268a1b673e19a1ddb2,3,5000
ORD-20260412-0054,2026-04-12 11:38:00,6a3fa374da5b18e68c8bc447,2,10000
ORD-20260412-0054,2026-04-12 11:38:00,6a3fa374da5b18e68c8bc445,3,20000
ORD-20260414-0064,2026-04-14 04:51:00,6a3fa374da5b18e68c8bc449,2,25000
ORD-20260414-0065,2026-04-14 09:15:00,6a3fa374da5b18e68c8bc445,3,20000
ORD-20260414-0065,2026-04-14 09:15:00,6a3fa374da5b18e68c8bc448,1,10000
ORD-20260414-0065,2026-04-14 09:15:00,6a3fa374da5b18e68c8bc447,3,10000
ORD-20260417-0075,2026-04-17 01:45:00,6a3fa373da5b18e68c8bc43e,1,28000
ORD-20260419-0084,2026-04-19 12:34:00,6a3fa374da5b18e68c8bc447,2,10000
ORD-20260420-0086,2026-04-20 11:03:00,6a3fa2c5dfa2f6d0ee22ff15,1,40000
ORD-20260420-0087,2026-04-20 10:56:00,6a3fa373da5b18e68c8bc440,3,25000
ORD-20260421-0091,2026-04-21 01:45:00,6a3fa373da5b18e68c8bc443,2,15000
ORD-20260421-0091,2026-04-21 01:45:00,6a3fa373da5b18e68c8bc43c,1,35000
ORD-20260421-0091,2026-04-21 01:45:00,6a3fa2c5dfa2f6d0ee22ff16,3,35000
ORD-20260423-0097,2026-04-23 10:00:00,6a3fa374da5b18e68c8bc449,2,25000
ORD-20260423-0097,2026-04-23 10:00:00,6a3fa374da5b18e68c8bc446,2,25000
ORD-20260427-0113,2026-04-27 02:57:00,6a3fa373da5b18e68c8bc442,1,12000
ORD-20260427-0113,2026-04-27 02:57:00,6a3fa373da5b18e68c8bc441,1,20000
ORD-20260427-0114,2026-04-27 06:09:00,6a3fa2c5dfa2f6d0ee22ff15,3,40000
ORD-20260427-0114,2026-04-27 06:09:00,6a3f54268a1b673e19a1ddad,2,48000
ORD-20260428-0117,2026-04-28 12:50:00,6a3fa2c5dfa2f6d0ee22ff16,2,35000
ORD-20260503-0131,2026-05-03 03:40:00,6a3fa2c5dfa2f6d0ee22ff13,2,40000
ORD-20260505-0136,2026-05-05 10:29:00,6a3fa373da5b18e68c8bc444,3,15000
ORD-20260505-0136,2026-05-05 10:29:00,6a3fa373da5b18e68c8bc443,2,15000
