item_id,item_name,category_id,category_name
6a3f54268a1b673e19a1ddad,Bún bò Huế,6a3fa2c4dfa2f6d0ee22ff0f,Bún - Phở - Mì
6a3f54268a1b673e19a1ddb1,Cơm tấm bì chả,6a3fa2c4dfa2f6d0ee22ff0e,Cơm
6a3f54268a1b673e19a1ddb2,Trà đá,6a3fa2c5dfa2f6d0ee22ff12,Nước uống
6a3f54268a1b673e19a1ddb3,Cà phê sữa,6a3fa2c5dfa2f6d0ee22ff12,Nước uống
6a3f54268a1b673e19a1ddb4,Nước cam,6a3fa2c5dfa2f6d0ee22ff12,Nước uống
6a3f54268a1b673e19a1ddb5,Chè đậu xanh,6a3f54268a1b673e19a1ddab,Tráng miệng
6a3f54268a1b673e19a1ddb6,Bánh flan,6a3f54268a1b673e19a1ddab,Tráng miệng
6a3fa2c5dfa2f6d0ee22ff13,Cơm Gà Xối Mỡ,6a3fa2c4dfa2f6d0ee22ff0e,Cơm
6a3fa2c5dfa2f6d0ee22ff14,Cơm Gà Nướng Mật Ong,6a3fa2c4dfa2f6d0ee22ff0e,Cơm
6a3fa2c5dfa2f6d0ee22ff15,Cơm Sườn Nướng,6a3fa2c4dfa2f6d0ee22ff0e,Cơm
6a3fa2c5dfa2f6d0ee22ff16,Cơm Thịt Kho Trứng,6a3fa2c4dfa2f6d0ee22ff0e,Cơm
6a3fa2c5dfa2f6d0ee22ff17,Cơm Chiên Dương Châu,6a3fa2c4dfa2f6d0ee22ff0e,Cơm
6a3fa2c6dfa2f6d0ee22ff18,Phở Bò Tái,6a3fa2c4dfa2f6d0ee22ff0f,Bún - Phở - Mì
6a3fa373da5b18e68c8bc43c,Mì Quảng Gà,6a3fa2c4dfa2f6d0ee22ff0f,Bún - Phở - Mì
6a3fa373da5b18e68c8bc43d,Bún Thịt Nướng,6a3fa2c4dfa2f6d0ee22ff0f,Bún - Phở - Mì
6a3fa373da5b18e68c8bc43e,Bánh Mì Xíu Mại,6a3fa2c4dfa2f6d0ee22ff10,Bánh mì
6a3fa373da5b18e68c8bc43f,Bánh Mì Trứng Ốp La,6a3fa2c4dfa2f6d0ee22ff10,Bánh mì
6a3fa373da5b18e68c8bc440,Bánh Mì Thịt Nướng,6a3fa2c4dfa2f6d0ee22ff10,Bánh mì
6a3fa373da5b18e68c8bc441,Cơm Cuộn Rong Biển,6a3fa2c4dfa2f6d0ee22ff11,Ăn vặt
6a3fa373da5b18e68c8bc442,Xúc Xích Đức Nướng,6a3fa2c4dfa2f6d0ee22ff11,Ăn vặt
6a3fa373da5b18e68c8bc443,Khoai Lang Lắc,6a3fa2c4dfa2f6d0ee22ff11,Ăn vặt
6a3fa373da5b18e68c8bc444,Bánh Bao Trứng Cút,6a3fa2c4dfa2f6d0ee22ff11,Ăn vặt
6a3fa374da5b18e68c8bc445,Cà Phê Sữa Đá,6a3fa2c5dfa2f6d0ee22ff12,Nước uống
6a3fa374da5b18e68c8bc446,Trà Đào Cam Sả,6a3fa2c5dfa2f6d0ee22ff12,Nước uống
6a3fa374da5b18e68c8bc447,Nước Suối Aquafina,6a3fa2c5dfa2f6d0ee22ff12,Nước uống
6a3fa374da5b18e68c8bc448,Sữa Đậu Nành,6a3fa2c5dfa2f6d0ee22ff12,Nước uống
6a3fa374da5b18e68c8bc449,Chè Khúc Bạch,6a3f54268a1b673e19a1ddab,Tráng miệng
